,hotelName,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020
0,FORTUNE PARK SISHMO BHUBANESWAR- Member ITC Hotel Group,8500,8500,7500,7500,7500,7500,7500,7500,7500
1,Hotel Pushpak,2450,2450,2450,2450,2450,2450,2450,2450,2450
2,FabHotel Paradise Convention,None,None,None,None,None,None,None,None,None
3,Hotel Tara Residency,2205,2328,2328,2328,2328,2328,2327,2327,2327
4,Hotel Kumud Plaza,2000,2000,2000,2000,2000,2000,2000,1900,1900
5,Treebo Aatithya,1634,1634,1730,1634,1780,1777,1566,1566,1566
6,Hotel Mahabir Galaxy,1449,1449,1449,1449,1449,1449,1449,1449,1449
7,Hotel keshari,1181,1181,1181,1181,1181,1181,1181,1181,1181
8,Hotel Swosti Grand,3699,3699,3599,3599,3499,3499,3628,3698,3699
9,Hotel Sambit Royale,2000,2000,2000,2000,2000,2000,2000,2000,2000
10,Sapphire Plaza,None,None,None,None,None,None,None,None,None
11,The Hhi Bhubaneswar,2999,2999,2999,2999,2999,2999,2999,2999,2999
12,OYO 16631 Greenstar Inn,1976,2781,2064,2120,1918,2857,2144,1889,2282
13,OYO 15380 Sai Swastik,1675,1888,2166,,1912,1753,1813,1951,1984
14,CS Imperial Stay,1299,1299,1299,1299,1299,1299,1299,1299,1299
15,OYO 28685 Hotel Villaggio,1970,1959,1803,1852,1845,2049,1836,1970,1959
16,HOTEL PAL HEIGHTS MANTRA,5000,,,,5000,,5000,4999,5000
17,Hotel Nirmala Residency,999,999,999,999,999,999,999,999,999
18,Nest Guest House,1198,1198,,,,,,,
19,JSB Maytri Inn,650,650,650,650,650,650,650,650,650
20,Collection O 35655 Hotel Kalinga,4932,4015,4626,4351,4214,4077,4311,4944,4275
21,Hotel Park Resort,1699,1699,1699,,1699,1699,1699,1699,1699
22,OYO 18658 Hotel Royal Green,2618,2618,2229,2153,2445,2473,2565,2374,2359
23,FabHotel Pentagon,1976,2122,2122,1976,1976,1976,2049,1976,2559
24,VITS Bhubaneshwar,3499,3499,3499,3499,3249,3249,3498,3498,3498
25,OYO 60003 Hotel Santosh,1337,1220,1220,,1369,1337,1369,1638,1638
26,OYO 17435 The Pinnacle Home Stay,3636,3270,3346,3247,3789,3132,3781,4071,3507
27,OYO 37181 Stay Ekante,1180,1163,1079,,1163,1151,1163,1180,1163
28,Hotel Arya Palace,2100,2100,2079,,4000,3960,3959,3959,3960
29,OYO 43512 Bijaya Palace,1764,1777,1777,,1777,1764,1777,1764,1764
30,Collection O 29524 The Urban Park,4387,4364,4593,4428,5379,4817,4306,4069,4199
31,Hotel Vintage Villa,2632,1679,1679,1679,1679,1679,1679,1679,1679
32,The Crown,5000,5000,5000,5000,5000,5000,5000,5000,5000
33,OYO 23382 Sai Gourav Residence,1345,,1586,,1345,1586,1345,1345,1586
34,Ginger Bhubaneshwar,3399,,3399,3399,3399,3399,3599,3599,3599
35,Hotel Swosti Premium,3599,,4098,4097,4099,4099,4098,4098,4098
36,MAYFAIR Convention,4895,,4395,4395,4400,4395,4399,4399,4399
37,OYO 29205 Bhubaneswar Pride,2223,,1357,,1357,1357,1357,1598,1357
38,"Trident, Bhubaneswar",7500,,7500,7500,7500,7500,7500,7500,7500
39,Pal Heights,5500,,5500,,5600,5500,5500,5500,5500
40,Empires Hotel Bhubaneswar,3000,,3000,,3000,3000,3000,3000,3000
41,Mayfair Lagoon,8850,,7899,8400,7900,7900,8400,8399,7899
42,OYO 17194 Ma Sum Palace,1365,,1388,,1388,1388,1388,1365,1374
43,The Suncity,2499,,2499,,2499,2499,2498,2498,2498
44,OYO 5417 Hotel Venus Heritage,1229,,1710,,1650,1650,1674,1650,1650
45,OYO 10511 Nayapalli,1834,,1976,,1998,1918,1994,1967,2025
46,OYO 19602 Omm Residency,2730,,2743,,2809,2743,2743,2705,2809
47,OYO 14489 Hotel Aryan,2886,,3545,,3975,3888,3507,3557,3629
48,The Extended Stay,900,,900,,900,900,900,900,900
49,Capital O 28034 Triple Tree Hotels & Resorts,5484,,5382,,5820,6138,5423,5466,5316
50,OYO 19144 Hotel Rainbow,4751,,3527,,6927,3461,3713,3590,3977
51,Hotel Golden Orchid,1891,,1891,,1891,1891,1891,1891,1891
52,OYO 15084 Lotus Residency,2682,,2674,,2618,2606,2649,2761,2847
53,OYO 11408 Hotel Sai Jagannath,1705,,1705,,2459,2140,2014,2006,1705
54,The Extended Stay 2,999,,999,,999,999,999,999,999
55,OYO 2279 Greenwood Galaxy,1675,,1675,,1976,1834,1675,1675,1834
56,Saraswati Retreat,2229,,2229,2229,2229,2229,2229,2229,2229
57,OYO 11946 Greenland Inn,1344,,1533,,1959,1660,1533,1630,1533
58,OYO 16407 Hotel Dream Castle,2833,,3052,,3808,2933,3508,3203,3779
59,OYO 24789 Sidharth International,2575,,2333,,2590,2557,2618,2886,2618
60,OYO 13527 Usha Residdency,4218,,6660,,4560,3543,4415,5045,3890
61,OYO Flagship 22336 Mancheswar Industrial Estate,4054,,4870,,4390,4265,3809,4092,4326
62,OYO 15441 Apollo Paradise Guest House,3606,,3354,,3606,3748,3606,3354,3606
63,OYO 9009 near Railway Station,3580,,3143,,3307,3357,3105,2882,2882
64,Collection O 19529 Hotel Bhinna Sakala,4397,,3924,,5585,4359,4077,4397,3715
65,krtatithya,1549,,1549,,1549,,1549,1549,1549
66,OYO 4110 near Apollo Hospital,2083,,1834,,2070,2201,1989,1834,1857
67,Hotel Sandy's Tower,5294,,5294,,5300,,5299,4299,5494
68,OYO 4108 near Kalinga Hospital,1547,,1533,,1533,1533,1660,1660,1660
69,OYO 3393 Midway Inn,2304,,1533,,2378,,2579,2526,2132
70,The Extended Stay 1,900,,900,,900,,900,900,900
71,OYO 13924 Shree Gopal Residency,2886,,2886,,3247,,2886,2886,3400
72,OYO 8741 Shree Jagannath Palace,1834,,1533,,1533,,1690,1834,1918
73,OYO 12005 Priyanka Residency,1081,,,,1115,,1134,1081,1081
74,Nilay Residency,2300,,,,2300,,2300,2300,2300
75,SR Corporate Homes,1400,,,,1400,,1400,1400,1400
76,FabExpress 7 Sandz,1337,,,,1278,,1278,1385,1385
77,OYO 9548 Green Villa Guest House,1376,,,,1506,,1506,1506,1506
78,OYO 10800 Ma Homestay,1675,,,,1533,,1675,1675,1675
79,Hotel Royal Guest House,1600,,,,1600,,1600,1600,1600
80,OYO 22510 Ma Classic Inn,2835,,,,2618,,2641,3349,2618
81,OYO 7674 Hotel Stellar,1124,,,,1527,,1830,1780,
82,OYO 9564 near KIIT University,1094,,,,1342,,1324,1343,3118
83,OYO 48754 Arati Homes,1273,,,,1245,,1273,1273,1273
84,OYO 46929 Royal Blues,1071,,,,1309,,1281,1281,1313
85,OYO 3518 The Room,3175,,,,3543,,3751,3751,3751
86,OYO 13624 Kapoors Plaza Guest House,1206,,,,1232,,1157,1157,1157
87,OYO 13859 Soveet Residency,1506,,,,1506,,1506,1506,1506
88,OYO 17276 The Maple Tree Hotels,3573,,,,3369,,3440,3400,2618
89,OYO 10493 near Patia,1627,,,,1368,,1427,1480,1463
90,OYO 23598 Home Elite Stay Nandankanan Park,1674,,,,1723,,1890,1761,1757
91,Hotel Landmark,2280,,,,2280,,2280,2280,2280
92,OYO 3803 Hotel Lal Quila,2847,,,,2961,,2977,2847,2813
93,OYO 16722 The Countryside Resort,2626,,,,2618,,2835,2819,2835
94,OYO 46710 La Grace Inn,3092,,,,1301,,1724,1423,1423
95,OYO 26808 Shree Ram Residency,2415,,,,2415,,2415,2420,2415
96,OYO 11547 Hotel Mona Palace,2411,,,,2500,,2289,2293,2268
97,Collection O 186 Hotel Triple C,3127,,,,4334,,3641,3802,3730
98,Hotel Bnson Blue,2400,,,,2400,,2400,2400,2400
99,OYO 14988 Regal Stays,3203,,2756,,3508,,3816,3203,4010
100,OYO 1359 Hotel Best Inn,None,,,,None,,None,None,None
101,Hotel Kalinga Ashok,None,,,,None,,None,None,None
102,OYO 6680 Hotel Galaxy International,None,,,,None,,None,None,None
103,Hotel Eden Roc,,,,1800,1800,1800,1800,1800,1800
104,"Mango Hotels Prangan,Bhubaneshwar",,,,,2280,2280,2280,2280,2280
105,OYO 18686 Aradhya Residency,,,,,1833,1833,1801,1833,1833
106,OYO 11345 Hotel White House Inn,,,,,1375,1450,1371,1371,1307
107,OYO 4526 Jaydev Vihar,,,,,2549,2178,2039,2039,2204
108,OYO 9855 Hotel Royal Suites,,,,,2968,3520,3456,3428,3250
109,OYO 16363 Advik Cottage,,,,,2933,,2978,3001,2993
110,OYO 13092 Comfort Inn,,,,,2750,,,2826,2880
111,OYO 26670 The Ranch,,,,,3593,,2886,3758,3278
112,OYO 14041 Evolve Residency,,,,,,1929,1688,1695,1731
113,OYO 9010 Hotel Railview,,,,,,,3963,3945,4085
114,Hotel Durene,,,,,,,,2999,2999
